Entity,Code,Year,Fossil fuels (% growth)
Africa,,1966,4.30516
Africa,,1967,0.82193613
Africa,,1968,4.8639297
Africa,,1969,1.7083883
Africa,,1970,7.132566
Africa,,1971,7.936394
Africa,,1972,5.011642
Africa,,1973,8.553064
Africa,,1974,4.1709423
Africa,,1975,6.008899
Africa,,1976,8.368265
Africa,,1977,5.063212
Africa,,1978,4.176748
Africa,,1979,9.1555
Africa,,1980,8.503067
Africa,,1981,12.989389
Africa,,1982,7.1242332
Africa,,1983,3.9896846
Africa,,1984,2.8530002
Africa,,1985,3.4165263
Africa,,1986,1.4349222
Africa,,1987,4.145372
Africa,,1988,6.3979626
Africa,,1989,-0.24669766
Africa,,1990,3.7603855
Africa,,1991,-0.6216407
Africa,,1992,1.9595623
Africa,,1993,0.662899
Africa,,1994,3.2517672
Africa,,1995,3.9108515
Africa,,1996,2.3878694
Africa,,1997,2.0168304
Africa,,1998,1.2406588
Africa,,1999,2.9794574
Africa,,2000,1.8802524
Africa,,2001,3.5823226
Africa,,2002,0.9358883
Africa,,2003,5.4818153
Africa,,2004,7.552266
Africa,,2005,0.419724
Africa,,2006,1.9141912
Africa,,2007,3.8551211
Africa,,2008,6.256783
Africa,,2009,1.6634941
Africa,,2010,2.731502
Africa,,2011,0.69930553
Africa,,2012,4.3103933
Africa,,2013,2.5361538
Africa,,2014,2.4337053
Africa,,2015,2.6361346
Africa,,2016,2.7209044
Africa,,2017,2.1708727
Africa,,2018,1.9730806
Africa,,2019,1.8523097
Africa,,2020,-6.2705874
Africa,,2021,6.5983176
Africa,,2022,0.10768175
Africa (EI),,1966,4.30516
Africa (EI),,1967,0.82193613
Africa (EI),,1968,4.8639297
Africa (EI),,1969,1.7084002
Africa (EI),,1970,7.132566
Africa (EI),,1971,7.9363823
Africa (EI),,1972,5.011654
Africa (EI),,1973,8.553087
Africa (EI),,1974,4.1709304
Africa (EI),,1975,6.008911
Africa (EI),,1976,8.368254
Africa (EI),,1977,5.063176
Africa (EI),,1978,4.1767716
Africa (EI),,1979,9.1555
Africa (EI),,1980,8.503067
Africa (EI),,1981,12.989389
