Entity,Year,Population,Fossil fuels (TWh),Annual greenhouse gas emissions in CO₂ equivalents,Renewables (TWh growth - equivalent),Annual CO₂ emissions per GDP (kg per international-$),"Industry as % of total employment -- ILO modelled estimates, May 2017",Renewables - % electricity,Share of industry in GDP at constant 2005 prices (GGDC),GDP per capita,417485-annotations
Austria,1991,7755640,254.54054,78741030.0,0.080200195,0.3044811,35.707,65.065765,,27689.771,
Austria,1992,7840816,238.59088,72129580.0,10.407219,0.2722038,34.814,72.392395,,28072.44,
Austria,1993,7905280,239.1349,72373180.0,5.610077,0.27159807,34.467,74.07047,,28101.229,
Austria,1994,7935366,240.44193,71976730.0,-3.4625854,0.26579693,32.4,70.81174,,28780.76,
Austria,1995,7947293,251.3576,74800390.0,6.145645,0.27042842,32.148,70.51468,,29621.682,
Austria,1996,7958043,261.10703,78230080.0,-9.276199,0.27677158,30.327,66.809784,,30413.156,
Austria,1997,7967086,262.8246,78136536.0,6.0465393,0.26930502,29.687,67.92385,,31173.049,
Austria,1998,7975856,265.21317,78160870.0,3.6255035,0.2576064,29.614,69.79614,,32376.33,
Austria,1999,7991382,264.26392,76537250.0,9.715782,0.24305937,29.81,70.677574,,33608.297,
Austria,2000,8010425,262.42456,75960580.0,3.206314,0.23598191,30.069,72.58146,,34796.258,
Austria,2001,8039633,280.44653,79828770.0,-4.070404,0.24592528,29.419,69.17786,,35272.223,
Austria,2002,8078994,282.88486,81418950.0,-1.7986069,0.24714506,28.878,69.03938,,35823.586,
Austria,2003,8120105,307.11383,88362880.0,-19.982162,0.26273167,29.01,60.695835,,36063.12,
Austria,2004,8171215,302.39697,87222390.0,12.333473,0.2557692,26.799,63.975456,,36957.113,
Austria,2005,8227034,306.63385,88401256.0,3.3514786,0.25389358,27.575,63.389675,,37642.76,
Austria,2006,8267771,300.71646,85986340.0,1.4674988,0.23763065,28.163,65.285805,,38866.848,
Austria,2007,8294720,284.4118,83398460.0,7.2878723,0.22038144,27.328,68.62184,,40305.273,
Austria,2008,8321134,288.42078,83309510.0,4.0083084,0.21434069,26.274,69.03876,,40964.793,
Austria,2009,8342939,267.22955,76766856.0,8.02684,0.20325153,25.0,71.161385,,39463.656,
Austria,2010,8362829,287.3896,81495170.0,-6.8484344,0.21248621,24.825,66.24944,,40288.348,
Austria,2011,8391201,275.2274,78986130.0,-11.925598,0.19983031,26.048,65.70832,,41446.0,
