Entity,Year,Renewables - % electricity,Population
Canada,1990,62.34779,27657206
Canada,1991,61.39351,28015762
Canada,1992,61.643684,28347644
Canada,1993,61.68843,28668168
Canada,1994,60.328484,28981190
Canada,1995,61.172176,29289430
Canada,1996,63.361584,29593856
Canada,1997,62.360817,29882752
Canada,1998,60.486572,30144816
Canada,1999,61.290306,30399776
Canada,2000,61.7943,30683316
Canada,2001,59.31232,31002768
Canada,2002,61.129566,31322400
Canada,2003,60.063942,31619456
Canada,2004,59.678913,31911670
Canada,2005,60.803677,32215914
Canada,2006,60.803535,32531864
Canada,2007,61.22323,32862458
Canada,2008,62.623207,33218542
Canada,2009,63.85556,33593920
Canada,2010,62.90026,33963416
Canada,2011,64.05245,34323536
Canada,2012,65.05896,34691876
Canada,2013,65.39234,35063696
Canada,2014,64.73612,35404616
Canada,2015,65.27169,35732120
Canada,2016,66.13221,36113532
Canada,2017,67.51717,36554344
Canada,2018,67.30201,37035260
Canada,2019,67.111534,37522584
Canada,2020,68.7524,37888704
Canada,2021,68.139626,38155012
India,1990,23.097132,870452160
India,1991,23.131563,888941760
India,1992,20.841738,907574100
India,1993,19.625616,926351300
India,1994,20.822308,945261950
India,1995,18.022327,964279100
India,1996,15.95155,983281200
India,1997,15.386589,1002335200
India,1998,17.0291,1021434560
India,1999,15.599825,1040500030
India,2000,14.048197,1059633660
India,2001,12.999709,1078970900
India,2002,11.938192,1098313100
India,2003,11.695108,1117415200
India,2004,15.63753,1136264600
India,2005,15.254357,1154638700
India,2006,17.135258,1172373800
India,2007,17.801973,1189691800
India,2008,16.768267,1206734800
India,2009,15.269804,1223640200
India,2010,15.21222,1240613600
India,2011,16.791103,1257621200
India,2012,15.135002,1274487200
India,2013,16.394157,1291132000
India,2014,16.00672,1307246500
India,2015,15.370245,1322866600
India,2016,14.853682,1338636300
India,2017,15.965148,1354195700
India,2018,16.692839,1369003300
India,2019,18.689354,1383112100
India,2020,19.954615,1396387100
India,2021,19.448202,1407563900
Japan,1990,11.1442,123686320
Japan,1991,11.639142,124073990
Japan,1992,10.024861,124444696
Japan,1993,11.247435,124779576
Japan,1994,7.9192533,125119260
Japan,1995,9.212626,125433970
Japan,1996,8.979606,125726220
Japan,1997,9.761912,126027980
Japan,1998,9.946743,126308390
Japan,1999,9.3160305,126555064
Japan,2000,9.187302,126803864
Japan,2001,9.077229,127065736
Japan,2002,8.942235,127301740
Japan,2003,10.262771,127502350
Japan,2004,10.027739,127671290
Japan,2005,8.914464,127798376
Japan,2006,9.831237,127902170
Japan,2007,8.622925,128006424
Japan,2008,8.615359,128077630
Japan,2009,8.732339,128117040
Japan,2010,10.228108,128105430
Japan,2011,10.278935,128007256
Japan,2012,10.058001,127853690
Japan,2013,11.082408,127678920
Japan,2014,12.599744,127476730
Japan,2015,14.951656,127250936
Japan,2016,14.662352,126993860
Japan,2017,16.001804,126662460
Japan,2018,17.071156,126255870
Japan,2019,17.576868,125791680
Japan,2020,19.576511,125244760
Japan,2021,21.181513,124612530
South Korea,1990,3.9548495,44120040
South Korea,1991,2.6494057,44487412
South Korea,1992,2.1165414,44703708
South Korea,1993,2.6130474,44932856
South Korea,1994,1.2810979,45165784
South Korea,1995,1.4797227,45393416
South Korea,1996,1.2532259,45660164
